Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:19:33Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:34Z, GPS, Latitude, 42.338639557965
2016-11-28T17:19:34Z, GPS, Longitude, -71.0880858536354
2016-11-28T17:19:34Z, GPS, Altitude, 6.44583892822266
2016-11-28T17:19:34Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:35Z, GPS, Latitude, 42.3386395279958
2016-11-28T17:19:35Z, GPS, Longitude, -71.088085810927
2016-11-28T17:19:35Z, GPS, Altitude, 6.37663412094116
2016-11-28T17:19:35Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:36Z, GPS, Latitude, 42.338639507248
2016-11-28T17:19:36Z, GPS, Longitude, -71.0880857813596
2016-11-28T17:19:36Z, GPS, Altitude, 6.31150054931641
2016-11-28T17:19:36Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:37Z, GPS, Latitude, 42.338639492884
2016-11-28T17:19:37Z, GPS, Longitude, -71.0880857608899
2016-11-28T17:19:37Z, GPS, Altitude, 6.25020027160645
2016-11-28T17:19:37Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:38Z, GPS, Latitude, 42.3386394829398
2016-11-28T17:19:38Z, GPS, Longitude, -71.0880857467185
2016-11-28T17:19:38Z, GPS, Altitude, 6.19250440597534
2016-11-28T17:19:38Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:39Z, GPS, Latitude, 42.3386394760553
2016-11-28T17:19:39Z, GPS, Longitude, -71.0880857369076
2016-11-28T17:19:39Z, GPS, Altitude, 6.13820314407349
2016-11-28T17:19:39Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:41Z, Acceleration (via User), x, 0.000218903151107952
2016-11-28T17:19:41Z, Acceleration (via User), y, 0.000328685680869967
2016-11-28T17:19:41Z, Acceleration (via User), z, 0.0026341590564698
2016-11-28T17:19:41Z, Attitude, Roll, 0.111973733271451
2016-11-28T17:19:41Z, Attitude, Yaw, -1.17038072748315
2016-11-28T17:19:41Z, Attitude, Pitch, 0.00951462025503471
2016-11-28T17:19:41Z, Magnetometer (corrected for device), x, -27.443977355957
2016-11-28T17:19:41Z, Magnetometer (corrected for device), y, -27.5416679382324
2016-11-28T17:19:41Z, Magnetometer (corrected for device), z, -27.8316345214844
2016-11-28T17:19:41Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:47Z, GPS, Latitude, 42.3386424525235
2016-11-28T17:19:47Z, GPS, Longitude, -71.0880808768688
2016-11-28T17:19:47Z, GPS, Altitude, 6.13820314407349
2016-11-28T17:19:47Z, GPS, Horizontal Accuracy, 100.000045143206
2016-11-28T17:19:50Z, Acceleration (via User), x, 0.000478809233754873
