Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:48:32Z, Acceleration (via User), y, -0.000842715438921005
2016-11-19T19:48:32Z, Acceleration (via User), z, 0.00530394073575735
2016-11-19T19:48:32Z, Magnetometer (corrected for device), x, -14.6853981018066
2016-11-19T19:48:32Z, Magnetometer (corrected for device), y, 7.87444305419922
2016-11-19T19:48:32Z, Magnetometer (corrected for device), z, -53.0728149414062
2016-11-19T19:48:32Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:37Z, GPS, Latitude, 42.3388759098358
2016-11-19T19:48:37Z, GPS, Longitude, -71.0882566302569
2016-11-19T19:48:37Z, GPS, Altitude, 10.0260047912598
2016-11-19T19:48:37Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:39Z, GPS, Latitude, 42.3388615576396
2016-11-19T19:48:39Z, GPS, Longitude, -71.0882496749256
2016-11-19T19:48:39Z, GPS, Altitude, 10.0353736877441
2016-11-19T19:48:39Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:41Z, Attitude, Roll, -0.0329293066210886
2016-11-19T19:48:41Z, Attitude, Yaw, 0.260074597747991
2016-11-19T19:48:41Z, Attitude, Pitch, 0.000119569466287417
2016-11-19T19:48:41Z, Acceleration (via User), x, 0.000300064595649019
2016-11-19T19:48:41Z, Acceleration (via User), y, 0.000668885884806514
2016-11-19T19:48:41Z, Acceleration (via User), z, 0.00298265251331031
2016-11-19T19:48:41Z, Magnetometer (corrected for device), x, -14.684497833252
2016-11-19T19:48:41Z, Magnetometer (corrected for device), y, 7.64922332763672
2016-11-19T19:48:41Z, Magnetometer (corrected for device), z, -52.6251831054688
2016-11-19T19:48:41Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:48Z, GPS, Latitude, 42.3388617862871
2016-11-19T19:48:48Z, GPS, Longitude, -71.0882492839533
2016-11-19T19:48:48Z, GPS, Altitude, 10.0353736877441
2016-11-19T19:48:48Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:50Z, Attitude, Roll, -0.0330438710458783
2016-11-19T19:48:50Z, Attitude, Yaw, 0.260444240077489
2016-11-19T19:48:50Z, Attitude, Pitch, 0.000222966303786839
2016-11-19T19:48:50Z, Acceleration (via User), x, 0.00068922434002161
2016-11-19T19:48:50Z, Acceleration (via User), y, -0.000112727058876771
2016-11-19T19:48:50Z, Acceleration (via User), z, 0.00375705468468368
2016-11-19T19:48:50Z, Magnetometer (corrected for device), x, -14.8317909240723
2016-11-19T19:48:50Z, Magnetometer (corrected for device), y, 6.97371673583984
